city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
48,0.6578547459068863,3,1,3,1,6,11,8,6,6,-0.8220021495514923,1
30,0.5524708763189287,1,0,3,2,5,16,1,5,0,3.274113745895124,0
48,0.6578547459068863,1,1,2,5,6,13,8,6,6,-0.6887951285613584,0
48,0.6578547459068863,1,1,3,1,6,13,8,6,0,-0.5056354746999243,0
39,-2.2199355389950313,1,0,0,0,5,14,8,6,0,-0.37242845370979044,1
30,0.5524708763189287,1,0,3,2,5,21,4,5,1,-0.7887003943039588,0
49,0.738919260974546,1,0,3,0,5,16,6,5,1,-0.6055407404425247,0
113,-1.060712973527499,1,0,3,2,5,4,3,5,4,0.9429908785677815,1
32,-2.7711742414551175,1,0,3,2,5,10,8,6,0,-0.22257055509588985,1
49,0.738919260974546,1,0,0,0,5,1,8,6,1,-0.4057302089573239,0
13,0.7875579700151418,1,0,0,1,6,13,8,6,1,0.22700314074581193,0
1,0.5362579733053967,1,0,3,2,5,21,2,5,4,-0.588889862818758,0
15,-0.6959226557230302,1,0,3,3,5,4,8,6,0,-0.7054460061851251,0
93,-1.3201194217440093,1,0,3,0,5,11,5,5,0,0.976292633815315,0
95,0.2119999130347578,1,1,1,0,5,11,5,5,0,-0.32247582083849025,0
64,-1.66059038502818,1,1,0,0,5,16,8,6,6,-0.7387477614326586,1
11,-2.2604677965288613,3,0,3,2,5,11,6,6,0,-0.4889845970761576,1
64,-1.66059038502818,3,1,1,2,5,0,6,4,5,-0.1892687998483564,0
13,0.7875579700151418,3,0,3,2,5,16,6,5,0,-0.838653027175259,0
5,0.738919260974546,1,1,3,1,6,15,8,6,0,1.2427066757955827,1
13,0.7875579700151418,1,1,2,1,6,13,8,6,0,-0.7220968838088918,0
55,0.39844829769037515,1,0,3,3,5,21,0,5,4,0.5433698155973798,0
70,0.8929418396030986,1,1,3,1,6,15,8,6,0,-0.5056354746999243,0
48,0.6578547459068863,1,0,3,2,5,16,2,5,1,0.9929435114390817,1
90,-0.43651620750651915,0,0,3,0,5,17,0,5,2,0.5100680603498464,1
39,-2.2199355389950313,3,0,3,2,5,10,2,5,1,-0.1393161669770562,1
121,0.9740063546707584,1,0,3,1,6,12,8,6,6,1.3925645744094832,0
14,-0.3230258864117955,1,1,3,0,5,16,2,5,2,0.27695577361711216,0
5,0.738919260974546,1,0,3,0,5,5,3,4,2,-0.9885109257891596,1
48,0.6578547459068863,1,0,3,0,0,14,7,5,1,-0.339126698462257,0
42,-1.060712973527499,1,1,3,1,6,11,8,6,6,-0.02276002361068906,0
5,0.738919260974546,1,0,3,2,0,21,1,2,4,-0.25587231034342334,1
6,0.7713450670016099,1,0,3,0,4,7,3,5,4,-0.05606177885822253,0
85,0.5443644248121626,1,1,3,2,2,14,8,6,2,0.6266242037162135,0
5,0.738919260974546,1,0,3,0,5,3,1,2,1,-1.0051618034129264,0
48,0.6578547459068863,1,0,3,0,2,7,8,6,0,0.6099733260924468,0
5,0.738919260974546,2,0,3,0,4,21,8,6,4,-0.522286352323691,1
5,0.738919260974546,1,0,3,0,4,21,8,6,4,3.3740190116377247,0
13,0.7875579700151418,1,0,3,0,5,14,6,5,3,-0.8220021495514923,1
5,0.738919260974546,0,0,3,0,5,16,3,3,0,1.3759136967857166,0
5,0.738919260974546,0,1,0,1,6,7,8,6,6,1.2094049205480493,1
99,0.447087006730971,1,0,3,0,5,6,7,0,0,0.34355928411217906,0
102,-2.0253807028326487,3,0,0,0,5,18,8,6,0,0.6599259589637471,0
5,0.738919260974546,1,0,3,0,0,21,0,5,4,-0.9052565376703259,0
64,-1.66059038502818,3,0,3,0,5,13,8,6,0,-0.2392214327196566,0
5,0.738919260974546,3,0,3,0,3,20,0,5,0,0.17705050787451174,0
5,0.738919260974546,1,0,3,0,5,12,2,5,0,-0.8220021495514923,0
112,0.763238615494844,3,0,3,0,4,21,0,5,4,1.4258663296570167,0
5,0.738919260974546,1,0,3,0,5,15,6,0,3,-0.7887003943039588,0
49,0.738919260974546,1,1,3,0,5,21,8,6,1,-0.5555881075712246,0
30,0.5524708763189287,1,0,3,0,5,8,2,5,0,-0.655493373313825,0
